id,cluster,center_distance
298908,2,0.9710233
102035,4,0.94403213
430445,1,0.90833694
239871,4,0.9817959
328250,4,1.0150411
146686,3,0.7654592
138477,1,0.9354153
287778,4,0.97963566
204122,2,0.99882275
437637,2,0.7093548
123115,4,0.95049167
152844,3,0.83769375
132195,4,0.9285079
248962,2,0.8861914
384264,1,0.80443
199545,4,1.0069937
422291,4,0.9441169
427531,2,0.9057262
389642,0,0.85794955
287235,0,0.86190253
110085,5,0.8528972
371549,4,0.93213516
444320,3,0.87353885
284465,2,0.98082894
376813,5,0.90610427
51506,4,0.9408602
134015,2,0.92870873
202195,4,0.9269423
407516,4,0.9425933
92113,4,0.9305887
354047,4,0.95053464
230565,0,1.0009062
134085,2,0.9631413
38811,4,0.9144765
185520,4,0.9252904
390230,1,0.9071588
401605,2,0.80656195
356849,2,0.772713
393988,2,0.85555923
360444,4,0.9298112
192390,0,0.92566615
446452,2,1.0070273
454621,4,0.96676296
440388,5,0.9563287
246224,1,0.80513215
484992,4,0.9652555
276865,0,0.8405206
172744,3,0.87311435
147212,2,0.97868013
214193,2,0.9201599
361927,5,0.9569477
450466,1,0.87092924
439143,4,0.9293907
298874,2,0.8896356
140196,4,0.9797051
196006,4,0.98583615
409229,4,0.9352256
174469,1,0.8406527
296051,2,0.80490685
256763,2,0.8662464
306590,4,0.96801466
52289,5,0.92959416
433071,4,0.9302915
218648,2,0.90908366
146447,4,0.9307272
256734,4,0.9571327
212028,2,0.83413637
408303,3,0.9223089
25512,0,0.91858494
363904,5,0.8846441
481157,5,0.9276055
18719,2,0.9765377
335539,2,0.82030773
303944,4,0.97439826
443720,2,0.79469675
407098,4,0.9199495
285568,4,1.0001267
432027,0,0.9399774
207743,4,0.94791937
299968,4,0.91518867
464946,5,0.77963847
130642,4,0.9762593
395202,2,0.9364224
335495,0,0.56382537
192542,1,0.9062307
315110,4,0.9212177
368878,5,0.91681594
147563,4,0.9634629
207466,4,0.9637518
193719,4,0.9382149
251976,4,0.97917706
334501,4,0.9500277
123117,2,0.88394433
38852,2,0.9454087
181808,5,0.9754981
291073,4,0.9166162
186143,4,0.9428574
250232,3,0.7961789
411859,5,0.90036744
382731,2,0.8493187
134787,5,0.8733239
154576,5,0.8862624
222030,2,0.9008974
52565,2,1.0149995
103393,4,0.992854
358626,4,0.9887571
53152,4,0.9686079
211322,2,0.91426134
251714,4,0.9807135
343821,2,0.80637145
168420,4,1.0319963
402351,4,0.93483526
319381,5,0.92747724
489707,5,0.8916091
389301,2,0.8354598
29916,0,0.8947187
36482,4,0.9796864
98844,4,0.91287035
65207,2,0.7785974
496766,1,0.8906324
140746,4,0.8997184
302344,4,0.98121446
56036,5,0.9547512
74284,4,0.96178126
361017,4,0.90699637
437219,4,0.94087875
467076,2,0.96352404
327141,4,0.9703659
342698,2,0.79440176
304814,4,0.9741249
387488,1,0.91668165
81280,2,0.844046
261482,1,0.84532267
77380,4,0.9554098
240369,4,0.9475544
340730,1,0.81565547
334951,4,0.9580712
305987,2,0.8799495
337893,2,0.958025
157160,4,1.0312691
35632,1,0.89933467
141712,4,0.9252995
21357,1,0.8197858
205443,4,0.9438623
201813,0,0.6352065
198343,2,0.87211794
279176,0,0.8393303
532472,4,0.9473003
32204,2,0.8456777
378540,5,0.8952228
293049,2,0.77701855
104773,2,0.8609278
129919,2,0.9309392
391335,4,0.93237835
383339,5,0.9371997
96727,4,0.9659044
474258,2,0.9404682
209322,4,0.95957243
60454,4,0.94396144
240447,0,0.7705245
375376,4,0.9815822
160398,4,0.943272
350400,5,0.88789713
280251,0,0.5577818
242761,0,0.56468666
11878,3,0.8447247
385823,4,0.94388103
22711,4,0.94460195
98821,4,0.97557664
152534,4,0.9721868
423516,1,0.8927356
418756,4,0.95415825
481195,4,0.9853592
53312,3,0.85636353
51922,5,0.9030653
11363,4,0.98806554
63131,2,0.9808993
108819,4,1.0267792
344420,4,0.98882705
292317,2,0.986111
79313,1,0.9088846
282644,5,0.91334516
19953,4,0.93421364
97808,4,0.95544153
16451,4,0.9745339
84610,3,0.8193022
116449,4,0.9702441
24760,3,0.7164884
261888,0,0.549828
133328,2,0.94841576
196614,4,0.96671164
238453,2,0.9198906
23078,2,0.8241378
67142,2,0.81897706
484624,4,0.92561436
97968,4,0.9578142
87640,3,0.84696627
413910,5,0.9127236
154187,3,0.7907965
327979,0,0.6132762
196319,4,0.9701053
184785,4,0.9831504
15255,4,0.9276762
344648,2,1.019122
438092,4,0.96160007
265262,4,0.9161099
247277,4,0.9897146
190891,5,0.8113855
449891,2,0.90914303
163005,5,0.8909887
473002,4,0.9419932
32088,2,0.91983587
286681,2,0.99529046
361328,5,0.7833207
376660,4,0.9534262
285666,5,0.87032807
159527,4,0.9134024
220237,2,0.8377798
375362,2,0.7903939
75408,5,0.8999279
196548,4,0.95213336
399709,4,0.9167988
217296,2,0.80687374
55809,2,0.9700236
198660,3,0.8577769
121107,4,1.0005934
98478,5,0.83883274
420409,2,0.88082844
393667,4,1.0256575
106902,4,1.0071504
435816,2,0.8934277
134086,2,0.99428624
246617,1,0.87234676
221942,2,0.8935952
21816,4,0.9582108
198073,4,0.9803292
169105,2,0.79515463
258868,4,0.96622723
15063,5,0.9265846
202949,4,0.9403323
454944,4,0.9298739
497150,2,0.8454681
202840,5,0.76549786
392350,1,0.9564645
184214,4,0.9798651
99065,4,0.9616132
325657,4,1.0046827
49737,4,0.93343025
15202,1,0.90472823
15211,4,0.99070156
15209,3,0.82646245
187601,4,0.98033917
37796,2,0.9471929
218687,2,0.88410074
127048,4,0.9661039
26420,4,0.94456226
142215,4,0.95520306
426696,3,0.86968356
157808,2,0.9748064
229979,2,0.92073804
128830,5,0.90392494
128840,5,0.9084512
436082,4,0.93159807
407659,1,0.89912534
87289,4,0.9329928
432965,4,0.92425215
266021,1,0.8143788
215290,4,0.9621225
147286,2,0.962512
407471,2,0.8594466
367828,4,0.918007
367823,4,0.9461492
349331,4,0.94091773
429248,4,0.9642818
483908,5,0.9091171
154007,5,0.95626724
187210,4,0.95303875
218967,5,0.9178656
140610,2,0.8433193
79736,0,0.8876244
230686,4,0.9953333
470837,4,0.9508257
483029,4,1.0282015
422277,3,0.9128721
392181,2,0.95586956
468143,0,0.9932733
344503,2,0.88354945
362654,3,0.81557757
157657,1,0.8825263
468652,2,0.93162936
251800,4,1.0016896
423369,2,0.9444179
374703,4,0.97793174
370567,4,1.0167141
100837,0,0.5694026
365158,4,0.9706988
484526,4,0.9738784
118801,2,0.9190986
146093,3,0.8511714
269443,4,0.9380335
286484,0,0.8172026
303978,4,0.9660821
323492,4,0.9671283
283618,0,1.0153793
480558,4,1.0139729
416980,4,0.961147
391705,4,0.9218822
176996,3,0.85405314
249911,0,0.9503875
255928,2,1.0008998
236346,2,0.9206749
316669,4,0.95104814
190411,1,0.8837084
316221,2,0.8151064
444002,2,0.83505136
290187,2,0.8418399
112386,4,1.0012138
11361,4,1.0077542
248676,4,1.0036048
359972,2,0.94612175
427872,4,1.0033385
357474,2,0.84449244
29935,2,0.9096397
459738,4,0.98982006
458929,5,0.6447335
458729,1,0.8279868
447710,4,0.9754406
374271,4,0.93966776
187843,4,0.984496
78123,4,0.9580404
420931,4,0.974912
111198,2,0.7992823
276330,4,1.0074593
103811,4,0.98988223
56719,5,0.88186383
164636,5,0.8163753
58321,5,0.6413433
100864,2,0.9369386
332651,3,0.80477273
146767,2,0.90566146
102895,4,1.001501
33246,2,0.92701876
14881,1,0.67807907
493178,4,0.960624
302498,4,0.951715
13805,4,1.002311
378067,4,0.997563
164100,4,0.95117164
266081,3,0.7398063
206648,2,0.9844122
207897,1,0.8842634
320454,2,0.9224452
377326,0,1.0071942
216873,5,0.93941754
407947,3,0.79710925
389672,2,0.7610098
111072,2,0.7771315
165438,2,0.84818923
80411,2,0.8768029
149243,2,0.8941167
247646,2,0.9044742
256535,2,0.86284214
267159,2,0.8438792
401283,5,0.82775706
165274,4,1.030899
211938,2,0.87677896
217180,5,0.9133594
47924,4,0.9260142
418500,4,1.0308439
137296,4,1.0285031
428566,2,0.9870476
533190,4,0.93312293
291956,4,0.9694508
385464,2,1.0250111
385460,4,0.967053
172373,3,0.8747335
12983,2,0.83078617
240165,2,0.87028146
344373,4,0.97765636
348965,5,0.89668894
478546,2,0.9837846
168663,0,1.0082282
40228,4,0.975168
433667,5,0.8649472
351229,2,0.81158674
