id,taste_cluster,taste_center_distance
23078,0,0.77800107
67142,0,0.6892834
484624,15,0.84695315
97968,7,0.727603
87640,9,0.8459123
413910,12,0.77618676
154187,9,0.7953742
327979,8,0.5783689
196319,11,0.857892
184785,2,0.9808206
15255,2,0.9145628
344648,13,0.96683186
438092,2,0.94434816
265262,15,0.8402216
247277,2,0.9785403
190891,4,0.801677
449891,6,0.74951565
163005,15,0.8489603
473002,2,0.92824036
32088,3,0.86196303
286681,13,0.94921577
361328,4,0.7455813
376660,2,0.9285392
285666,4,0.85554534
159527,15,0.80263823
220237,3,0.8032284
375362,13,0.8045561
75408,4,0.90095407
196548,2,0.94122213
399709,15,0.89182746
217296,3,0.76167274
55809,3,0.9866702
198660,9,0.85976887
121107,2,1.0063347
98478,4,0.8449398
420409,3,0.8517377
393667,13,0.97823566
106902,14,0.49895573
435816,12,0.8645813
134086,13,0.9980359
246617,1,0.8635164
221942,6,0.76233935
21816,2,0.9491717
198073,2,0.98617077
169105,3,0.7069297
258868,2,0.95910525
15063,4,0.93199325
202949,2,0.9258409
454944,15,0.9116531
497150,12,0.80827385
202840,4,0.7307135
392350,15,0.87574255
184214,5,0.8807688
99065,5,0.8694338
325657,6,0.8158241
49737,2,0.913258
15202,1,0.9046176
15211,13,0.9580475
15209,9,0.8207732
187601,2,0.9691459
37796,12,0.72447634
218687,3,0.8097102
127048,12,0.7557321
26420,15,0.8419327
142215,2,0.9542621
426696,9,0.8677514
157808,6,0.854065
229979,13,0.92529714
128830,2,0.9054787
128840,5,0.85257095
436082,2,0.92897606
407659,1,0.89880663
87289,2,0.93726826
432965,7,0.7975365
266021,1,0.80665135
215290,5,0.88848346
147286,13,0.90835404
407471,3,0.8495671
367828,2,0.90427464
367823,11,0.8902574
349331,11,0.8447106
429248,5,0.85635984
483908,0,0.92274433
154007,2,0.9681261
187210,2,0.9416819
218967,4,0.93069947
140610,6,0.7667979
79736,8,0.9047547
230686,14,0.8070561
470837,2,0.9476996
483029,13,1.028378
422277,9,0.9205918
392181,13,0.9053433
468143,10,0.7720143
344503,3,0.9032191
362654,9,0.81653637
157657,1,0.87798256
468652,0,0.850698
251800,13,0.9418783
423369,13,0.8818828
374703,2,0.9829245
370567,2,1.0159271
100837,8,0.49300495
365158,5,0.823169
484526,13,0.9767801
118801,3,0.91027963
146093,9,0.85521984
269443,0,0.9211524
286484,8,0.8196762
303978,14,0.89736235
323492,5,0.8804414
283618,13,1.005518
480558,14,0.8509203
416980,2,0.94498163
391705,15,0.86955446
176996,9,0.8596488
249911,8,0.9629858
255928,13,1.0043893
236346,15,0.7376321
316669,7,0.877708
190411,5,0.8180883
316221,6,0.76393145
444002,0,0.7771676
290187,0,0.8338446
112386,2,0.9867435
