id,rating_mean,rating_count,bayesian_rating
220231,4.25,4,4.346854891062432
220241,5.0,10,4.923427445531217
220242,5.0,4,4.846854891062432
220245,4.75,4,4.680188224395766
220247,5.0,1,4.693709782124865
220249,5.0,3,4.816225869274919
220250,5.0,1,4.693709782124865
220251,5.0,2,4.770282336593649
220254,5.0,2,4.770282336593649
220258,5.0,2,4.770282336593649
220262,5.0,3,4.816225869274919
220263,5.0,1,4.693709782124865
220264,3.5,4,3.8468548910624327
220265,5.0,2,4.770282336593649
220266,3.6666666666666665,3,4.016225869274919
220267,5.0,1,4.693709782124865
220268,3.5,2,4.020282336593649
220272,5.0,2,4.770282336593649
220280,4.0,1,4.3603764487915315
220288,5.0,1,4.693709782124865
220289,5.0,12,4.934366381883899
220292,5.0,5,4.8687327637678
220294,4.0,1,4.3603764487915315
220295,5.0,5,4.8687327637678
220297,5.0,2,4.770282336593649
220298,5.0,2,4.770282336593649
220300,4.75,4,4.680188224395766
220304,4.785714285714286,14,4.755070584148412
220309,4.333333333333333,6,4.385141168296824
220312,5.0,1,4.693709782124865
220314,4.3,10,4.340094112197883
220317,4.0,1,4.3603764487915315
220321,4.75,8,4.70811293463746
220329,0.0,3,1.8162258692749187
220335,4.571428571428571,7,4.564569927374955
220345,5.0,1,4.693709782124865
220346,4.6,10,4.590094112197883
220349,5.0,1,4.693709782124865
220350,4.0,1,4.3603764487915315
220351,3.5,2,4.020282336593649
220352,4.0,2,4.270282336593649
220353,5.0,1,4.693709782124865
220363,4.0,1,4.3603764487915315
220366,4.75,4,4.680188224395766
220368,5.0,7,4.897903260708288
220369,2.0,1,3.6937097821248646
220372,4.0,1,4.3603764487915315
220375,5.0,1,4.693709782124865
220384,5.0,2,4.770282336593649
220387,4.0,1,4.3603764487915315
220388,5.0,1,4.693709782124865
220389,4.1,20,4.140051333926118
220392,5.0,1,4.693709782124865
220394,4.75,4,4.680188224395766
220399,4.0,1,4.3603764487915315
220402,5.0,2,4.770282336593649
220406,5.0,1,4.693709782124865
220407,5.0,3,4.816225869274919
220412,4.0,1,4.3603764487915315
220418,4.5,6,4.510141168296824
220419,5.0,1,4.693709782124865
220422,3.5,2,4.020282336593649
220423,0.0,1,3.027043115458198
220426,3.75,4,4.013521557729099
220428,5.0,1,4.693709782124865
220429,5.0,2,4.770282336593649
220431,4.916666666666667,12,4.862937810455328
220439,4.0,1,4.3603764487915315
220440,4.5,2,4.520282336593649
220448,4.0,1,4.3603764487915315
220456,5.0,1,4.693709782124865
220462,5.0,1,4.693709782124865
220466,5.0,1,4.693709782124865
220470,4.166666666666667,6,4.260141168296824
220471,5.0,4,4.846854891062432
220475,4.444444444444445,9,4.461920849670418
220481,4.9,10,4.840094112197883
220482,5.0,1,4.693709782124865
220484,4.0,1,4.3603764487915315
220486,4.0,1,4.3603764487915315
220489,5.0,2,4.770282336593649
220490,2.5,2,3.5202823365936484
220493,5.0,2,4.770282336593649
220496,5.0,2,4.770282336593649
220497,4.444444444444445,9,4.461920849670418
