recipe_id,row_index
121344,573
176593,574
132955,575
402246,576
83417,577
94547,578
262768,579
390932,580
287573,581
310869,582
163492,583
8606,584
181656,585
389560,586
85434,587
90499,588
272869,589
57203,590
429838,591
289559,592
349293,593
509443,594
423880,595
127184,596
131582,597
141738,598
359203,599
215039,600
133481,601
513963,602
300960,603
98213,604
531143,605
213395,606
286624,607
334201,608
358003,609
482111,610
286807,611
457730,612
127743,613
135933,614
126072,615
20238,616
129377,617
402119,618
289509,619
417632,620
83703,621
239306,622
6652,623
382300,624
218671,625
430121,626
268681,627
151328,628
203134,629
436030,630
220503,631
336323,632
325137,633
79425,634
121712,635
155344,636
175339,637
72600,638
50614,639
133784,640
140723,641
43669,642
73566,643
404661,644
381713,645
257696,646
91515,647
130002,648
53353,649
307362,650
168222,651
140172,652
305112,653
53481,654
76887,655
392598,656
113197,657
398071,658
66527,659
184890,660
79046,661
356163,662
41673,663
506885,664
277539,665
169487,666
317587,667
20624,668
360232,669
246548,670
67446,671
153028,672
172651,673
348952,674
5276,675
140173,676
31184,677
164178,678
289025,679
287502,680
75079,681
147100,682
233317,683
109793,684
291409,685
27275,686
282812,687
382234,688
237391,689
266997,690
229451,691
204040,692
82287,693
302815,694
311842,695
531148,696
364157,697
102832,698
489337,699
262448,700
294427,701
328436,702
357228,703
67421,704
240314,705
315063,706
124275,707
50248,708
219485,709
42363,710
160494,711
394049,712
221166,713
254267,714
109232,715
404233,716
461235,717
201094,718
245950,719
33561,720
366895,721
376468,722
392368,723
170336,724
471666,725
431624,726
453243,727
79372,728
101260,729
108955,730
490759,731
105452,732
266037,733
496213,734
271663,735
400243,736
260781,737
399828,738
501408,739
448508,740
181244,741
256464,742
405737,743
315678,744
44972,745
122791,746
100051,747
517511,748
354010,749
195810,750
66469,751
395471,752
458255,753
458467,754
143234,755
19281,756
249457,757
20930,758
246457,759
214264,760
148362,761
77497,762
122497,763
85118,764
416599,765
193899,766
203378,767
289160,768
513216,769
388669,770
320442,771
182904,772
422611,773
290008,774
427175,775
216014,776
4764,777
162657,778
250347,779
313624,780
160776,781
104732,782
138700,783
17231,784
472957,785
88418,786
106447,787
432997,788
37960,789
104967,790
227420,791
108497,792
305137,793
291796,794
478604,795
166483,796
102154,797
194068,798
61040,799
138235,800
240747,801
26954,802
383978,803
262501,804
385415,805
516214,806
383923,807
187040,808
120462,809
136796,810
111625,811
170841,812
220280,813
297466,814
152441,815
254521,816
314185,817
102930,818
502982,819
377194,820
255242,821
301235,822
403839,823
281328,824
391156,825
394192,826
294421,827
259806,828
300231,829
274469,830
273114,831
432661,832
263058,833
460167,834
377279,835
280714,836
281314,837
482075,838
269192,839
296176,840
416640,841
307065,842
415334,843
359316,844
824,845
474805,846
169968,847
210455,848
186414,849
119225,850
407166,851
136112,852
215918,853
353419,854
296654,855
114204,856
285629,857
110646,858
150333,859
33701,860
239647,861
36072,862
123408,863
277145,864
63069,865
131286,866
455051,867
112648,868
374369,869
200373,870
187309,871
362546,872
81108,873
294521,874
468765,875
427261,876
309806,877
21428,878
503736,879
200419,880
505748,881
525818,882
258970,883
128027,884
472014,885
165096,886
48634,887
46636,888
33947,889
366824,890
318330,891
122817,892
100450,893
359609,894
507544,895
339696,896
96064,897
249752,898
161592,899
317598,900
106333,901
234120,902
156896,903
90767,904
408575,905
66520,906
377398,907
35788,908
100886,909
89121,910
131875,911
313432,912
193053,913
31683,914
308525,915
324047,916
455416,917
57301,918
107690,919
313237,920
258846,921
394191,922
406581,923
509998,924
377090,925
37684,926
134719,927
108708,928
143771,929
65833,930
18766,931
448832,932
528364,933
269156,934
323810,935
125744,936
292516,937
111880,938
137187,939
205648,940
100066,941
317309,942
228820,943
26649,944
115420,945
157534,946
155496,947
221791,948
71698,949
353212,950
111257,951
82136,952
28670,953
20901,954
76490,955
222458,956
59050,957
281251,958
103009,959
234531,960
303140,961
290371,962
313066,963
100633,964
23210,965
128046,966
145473,967
3441,968
22442,969
141164,970
329881,971
266704,972
9518,973
474672,974
154224,975
446919,976
138288,977
225703,978
413288,979
229453,980
48968,981
133684,982
406737,983
127924,984
375184,985
64631,986
333395,987
66800,988
99798,989
412506,990
276601,991
280969,992
280875,993
47506,994
256831,995
367633,996
67686,997
345057,998
238258,999
308917,1000
84233,1001
400025,1002
259584,1003
116772,1004
513291,1005
481786,1006
372771,1007
205712,1008
83571,1009
428655,1010
76268,1011
220922,1012
301835,1013
211702,1014
459827,1015
402905,1016
35618,1017
159380,1018
77729,1019
35280,1020
506106,1021
223396,1022
38905,1023
244292,1024
107997,1025
112742,1026
121760,1027
130793,1028
127341,1029
458144,1030
295517,1031
474044,1032
404871,1033
365962,1034
181425,1035
483632,1036
420191,1037
272437,1038
35818,1039
117758,1040
301946,1041
332276,1042
265338,1043
148114,1044
111306,1045
34243,1046
207445,1047
436673,1048
384194,1049
36320,1050
208407,1051
183081,1052
62088,1053
189437,1054
321420,1055
406071,1056
214981,1057
340404,1058
88125,1059
400885,1060
153800,1061
368254,1062
115687,1063
380561,1064
459273,1065
128152,1066
125897,1067
30212,1068
176415,1069
431802,1070
369773,1071
10889,1072
170981,1073
349570,1074
16120,1075
147274,1076
407396,1077
282419,1078
155273,1079
57009,1080
358867,1081
338753,1082
70785,1083
365787,1084
3900,1085
95158,1086
64306,1087
323262,1088
149252,1089
260787,1090
174127,1091
72940,1092
56973,1093
444749,1094
537485,1095
352071,1096
382633,1097
345543,1098
353260,1099
143407,1100
15216,1101
172883,1102
108084,1103
468767,1104
120524,1105
192039,1106
26180,1107
21613,1108
21629,1109
325571,1110
258419,1111
29820,1112
163282,1113
116672,1114
382834,1115
351552,1116
460882,1117
432077,1118
398060,1119
179080,1120
353280,1121
216276,1122
132467,1123
11406,1124
164970,1125
325013,1126
15143,1127
257084,1128
11324,1129
36636,1130
158685,1131
274746,1132
506141,1133
61474,1134
232249,1135
32403,1136
395196,1137
31984,1138
137241,1139
21633,1140
132263,1141
263505,1142
363030,1143
124242,1144
458796,1145
309594,1146
93947,1147
324683,1148
11303,1149
101898,1150
201750,1151
91839,1152
355169,1153
345089,1154
14912,1155
198836,1156
96528,1157
93881,1158
297671,1159
56189,1160
262686,1161
228000,1162
98113,1163
354012,1164
444611,1165
119971,1166
54093,1167
487701,1168
366114,1169
282881,1170
221085,1171
209301,1172
22864,1173
531144,1174
486851,1175
514206,1176
385071,1177
463737,1178
325674,1179
342249,1180
166476,1181
458008,1182
87105,1183
325410,1184
386826,1185
407747,1186
433598,1187
424112,1188
296452,1189
265502,1190
115528,1191
136330,1192
378058,1193
386882,1194
293465,1195
391085,1196
222166,1197
151148,1198
255840,1199
284848,1200
151131,1201
155290,1202
397923,1203
384989,1204
358600,1205
57801,1206
453600,1207
290587,1208
190918,1209
100231,1210
357076,1211
117512,1212
301951,1213
58045,1214
37575,1215
216705,1216
149367,1217
43500,1218
32860,1219
142067,1220
307925,1221
247613,1222
251443,1223
30910,1224
472184,1225
476655,1226
510124,1227
127995,1228
326328,1229
250024,1230
391589,1231
230909,1232
272641,1233
400698,1234
31639,1235
306471,1236
140171,1237
12636,1238
16320,1239
285729,1240
45894,1241
11156,1242
209459,1243
209457,1244
248426,1245
91370,1246
158668,1247
64784,1248
114394,1249
313613,1250
54029,1251
287401,1252
375862,1253
53066,1254
97773,1255
262796,1256
241215,1257
100590,1258
288094,1259
276547,1260
535021,1261
27893,1262
162834,1263
259250,1264
18927,1265
136471,1266
496614,1267
122319,1268
14087,1269
85265,1270
82446,1271
182029,1272
10484,1273
292749,1274
16412,1275
23613,1276
263109,1277
298507,1278
251279,1279
220801,1280
487467,1281
188541,1282
137026,1283
97578,1284
346321,1285
38363,1286
331269,1287
136399,1288
122311,1289
330356,1290
286468,1291
239766,1292
214711,1293
309674,1294
195990,1295
49504,1296
309179,1297
412761,1298
376691,1299
354729,1300
32438,1301
272216,1302
174369,1303
365478,1304
301935,1305
421062,1306
17480,1307
468996,1308
397172,1309
385129,1310
121331,1311
204114,1312
254489,1313
117298,1314
296318,1315
22987,1316
145013,1317
116389,1318
321494,1319
130766,1320
354473,1321
496779,1322
34708,1323
291957,1324
